Tmc/Tc 	 dThec/dTic 
0.2701208823561169 	 8.586791128494568 
0.2832580420927562 	 0.13728549360945236 
0.31599333287673576 	 0.06076301582402902 
0.3485649153786256 	 0.0056185094452435485 
0.37001219386160855 	 0.075341300495401 
0.39125077662644675 	 0.03225191358946221 
0.41734834862459874 	 0.04709994920675432 
0.4431831019666687 	 0.010579685853575674 
0.46890254452451074 	 0.03460096173409315 
0.49495910268071075 	 nan 
0.5217301959262076 	 0.021527575221618314 
0.5499389142893436 	 nan 
0.5802122951322328 	 nan 
0.6134636109922369 	 nan 
0.6506543995772087 	 nan 
0.7020434087681615 	 nan 
0.7519180914750803 	 nan 
0.8098052601477624 	 nan 
0.8771526234797905 	 nan 
0.9554626631635733 	 0.31517204186904146 
