Tmc/Tc 	 dThec/dTic 
0.6502682334942783 	 0.957309231049082 
0.6565822936169045 	 0.7077691126803975 
0.6631427605232074 	 0.6807148439217638 
0.6685311479887871 	 0.17528569665882202 
0.6741334624502375 	 0.29774283050200767 
0.6799353632420128 	 0.4435164711141863 
0.6859391919079272 	 0.1308978175555888 
0.6921203185226167 	 0.16533303576976172 
0.6984785425681794 	 0.20854896367127498 
0.7049903862394193 	 0.3253027950266195 
0.7116536140786791 	 0.3065842750289139 
0.718461510800301 	 0.2829228870636552 
0.7253989368387505 	 0.23587641739765366 
0.7324510201599729 	 0.27917805279316465 
0.7396094662829046 	 0.10633607597475496 
0.7468666374855609 	 0.2303065000959672 
0.7542091127673735 	 0.07175238702874646 
0.7616250299064814 	 0.06509189929988805 
0.7691146891742099 	 0.2911269659415237 
0.7766513114382424 	 0.10575357712408451 
0.784232616877968 	 0.25879571663448503 
0.7918415075119184 	 nan 
0.7994709510505411 	 0.2161177394871477 
0.8071237456938343 	 0.01753283444895785 
0.8147623399145918 	 0.13791199254133735 
0.8224102815568138 	 nan 
0.830016819641254 	 0.2849452837177633 
0.8375989961377235 	 0.2712323686874567 
0.8451415277304667 	 0.05530418914713166 
0.8526295912491985 	 nan 
0.8600510347560794 	 nan 
0.8676332849139838 	 0.10899781095392572 
0.8771217784294025 	 0.3538062603500822 
0.8864440547334095 	 nan 
0.8955765022717022 	 nan 
0.9044731404470607 	 0.15032467876947195 
0.9131394113581822 	 0.08845592201728265 
0.9215328674435513 	 0.16912201444299382 
0.9296412670241726 	 nan 
0.9374242254701008 	 0.06088427976915895 
0.9448730494779994 	 0.05266109293352825 
0.9519608546100976 	 nan 
0.9586588077976625 	 nan 
0.9649388601708819 	 0.015393272302737336 
0.9707897381136474 	 0.10280035464700081 
0.9761763081242734 	 0.06508710232935586 
0.9810810312359209 	 0.11978063096573274 
0.9854753800474616 	 0.04695511572338627 
0.9893415908840197 	 0.0031630343734443465 
0.992645340657153 	 0.013656252284152952 
0.9953727767802013 	 0.2165645205601114 
0.9974923660467335 	 0.07684322186128047 
