Tmc/Tc 	 dThec/dTic 
0.6461170462663232 	 nan 
0.6498389503932691 	 0.18413666080324323 
0.6561244840429388 	 0.1823178922168204 
0.6628204740930038 	 0.16530247250938054 
0.6681965437995202 	 0.16548486457757577 
0.6737861812323166 	 0.18747446891285413 
0.6795743936072868 	 0.1738461699878511 
0.6855687268973771 	 0.15414022674168434 
0.6917380450007475 	 0.18402968089782787 
0.6980841847660738 	 0.17249314255074816 
0.7045854286724815 	 0.1753130953286081 
0.7112421820638114 	 0.19568673003934708 
0.7180416651208553 	 0.2304472232459299 
0.7249732889535502 	 0.18856473622507425 
0.7320166605379488 	 0.21317138751195244 
0.7391706452461336 	 0.20509450989444927 
0.7464221193704427 	 0.1329833500966827 
0.7537578249318323 	 0.18506244913335984 
0.761172101555326 	 0.1958028304782635 
0.7686568906023074 	 0.22587385040204008 
0.7761911660603016 	 0.19059478204394614 
0.7837693405971393 	 0.2121178039316098 
0.7913754459420251 	 nan 
0.7990066235048251 	 0.1910448937062324 
0.8066574518236235 	 0.1347156298932902 
0.8142961546447729 	 0.16165501703522733 
0.8219435929367985 	 0.23935237815276877 
0.8295522439536569 	 0.14679944859967972 
0.8371376645018058 	 0.2596190387630919 
0.8446812565656348 	 0.22783439858761423 
0.8521723028157957 	 0.15020509621731004 
0.8596000859229408 	 0.1809355482950244 
0.8669564068860179 	 0.20253911919144413 
0.8764643787251314 	 0.12135638200943073 
0.8857905866946996 	 0.18686042072254608 
0.8949402167636077 	 0.2096350982947972 
0.9038578764950749 	 0.13607308936537726 
0.9125363383447364 	 0.10166480377470061 
0.9209513322718438 	 0.042232953013713805 
0.9290806458927023 	 0.033098960026538574 
0.9368896260035587 	 0.12255183447292252 
0.9443588098203666 	 0.09248587064388857 
0.9514753402411041 	 0.14612476287191614 
0.9581998764353795 	 0.13698920016454977 
0.9645124795257589 	 0.0556883307715085 
0.9703938721095211 	 0.25264388661299614 
0.9758110651687163 	 0.2527480973862994 
0.9807538390182039 	 0.2217554482094429 
0.9851825499517871 	 0.35586527573865206 
0.9890880190495732 	 0.44091909905845283 
0.9924326237636083 	 0.3884861348152765 
0.9952014887079939 	 0.4656971364252043 
0.997364234133233 	 0.41099006209401373 
0.9989027689443207 	 nan 
0.9997883251777612 	 nan 
0.9999992189454927 	 0.3367661546883372 
